"","intercept","r_squared","filter","terms","sh_filter","sot_filter","players"
"37","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age, g_minus_x_g_expected",0.800314606864507,"goals > 0 & goals != pk_standard",8,"shots > 0","sot > 0",830
"38","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, poly(age, 2), g_minus_x_g_expected",0.799717172543877,"goals > 0 & goals != pk_standard",8,"shots > 0","sot > 0",830
"39","log(goals - pk_standard), pos, squad, dist_standard, shots, games, age, g_minus_x_g_expected",0.799639450645426,"goals > 1 & goals != pk_standard",8,"shots > 5","sot > 0",NA
"40","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.799494627412012,"goals > 0 & goals != pk_standard",7,"shots > 0","sot > 0",830
"41","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age, days_at_club",0.799332657661033,"goals > 0 & goals != pk_standard",7,"shots > 0","sot > 0",830
"42","log(goals - pk_standard), pos, squad, dist_standard, shots, games, age, np_g_minus_x_g_expected",0.799275269996993,"goals > 1 & goals != pk_standard",8,"shots > 5","sot > 0",NA
"43","log(goals - pk_standard), pos, squad, dist_standard, shots, games, age, g_minus_x_g_expected",0.799080757862183,"goals > 0 & goals != pk_standard",8,"shots > 0","sot > 0",830
"44","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age, g_minus_x_g_expected",0.798826984524864,"goals > 0 & goals != pk_standard",7,"shots > 0","sot > 0",830
"45","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age, np_g_minus_x_g_expected",0.798599393776284,"goals > 0 & goals != pk_standard",7,"shots > 0","sot > 0",830
"46","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age, g_minus_x_g_expected",0.798516977427876,"goals > 0 & goals != pk_standard",7,"shots > 1","sot > 0",823
"47","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), shots, games, age",0.798382907591104,"goals > 0 & goals != pk_standard",8,"shots > 0","sot > 0",830
"48","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), shots, games, age, x_g_expected",0.798154552280327,"goals > 0 & goals != pk_standard",9,"shots > 0","sot > 0",830
"49","log(goals - pk_standard), primary_position, squad, dist_standard, sh_per_game, age, season",0.798036937296454,"goals > 0 & goals != pk_standard & sot > 10",7,"shots > 0","sot > 0",314
"50","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age, sh_per_90_standard",0.797956733133804,"goals > 0 & goals != pk_standard",7,"shots > 0","sot > 0",830
"51","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age",0.797790201292993,"goals > 0 & goals != pk_standard",6,"shots > 0","sot > 0",830
"52","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age, x_g_expected",0.797701062463767,"goals > 0 & goals != pk_standard",7,"shots > 0","sot > 0",830
"53","log(goals - pk_standard), pos, squad, dist_standard, sh_per_90_standard, age, g_minus_x_g_expected",0.797453417419967,"goals > 1 & goals != pk_standard",7,"shots > 5","sot > 0",NA
"54","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age",0.797082381841742,"goals > 1 & goals != pk_standard",6,"shots > -1","sot > 1",547
"55","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age",0.797064554324306,"goals > 1 & goals != pk_standard",6,"shots > 0","sot > 0",548
"56","log(goals - pk_standard), pos, squad, dist_standard, shots, games, born, g_minus_x_g_expected",0.795796341737745,"goals > 1 & goals != pk_standard",8,"shots > 5","sot > 0",NA
"57","log(goals - pk_standard), pos, squad, dist_standard, shots, games, age, so_t_per_90_standard",0.795603051507806,"goals > 1 & goals != pk_standard",8,"shots > 5","sot > 0",NA
"58","log(goals - pk_standard), pos, squad, dist_standard, shots, games, age",0.795467818271643,"goals > 1 & goals != pk_standard",7,"shots > 5","sot > 0",NA
"59","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age",0.795201808774844,"goals > 0 & goals != pk_standard",6,"shots > 4","sot > 0",796
"60","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age",0.794705425526308,"goals > 1 & goals != pk_standard",6,"shots > 5","sot > 0",NA
"61","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age",0.794340734437422,"goals > 0 & goals != pk_standard",6,"shots > 5","sot > 0",786
"62","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age, g_minus_x_g_expected",0.793778549096192,"goals > 0 & goals != pk_standard",7,"shots > 0","sot > 1",787
"63","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age",0.79330334101314,"goals > 0 & goals != pk_standard",6,"shots > 3","sot > 0",811
"64","log(goals - pk_standard), pos, squad, dist_standard, games, age, g_minus_x_g_expected",0.792896318284654,"goals > 1 & goals != pk_standard",7,"shots > 5","sot > 0",NA
"65","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age",0.792382908341871,"goals > 1 & goals != pk_standard",6,"shots > -1","sot > 2",538
"66","pos, squad, dist_standard, shots, games, age, g_minus_x_g_expected",0.785131920228868,"goals > 1 & goals != pk_standard",7,"shots > 5","sot > 0",NA
"67","log(goals - pk_standard), pos, table_position, dist_standard, sh_per_game, age, x_g_expected",0.785084138372929,"goals > 0 & goals != pk_standard",7,"shots > 0","sot > 0",830
"68","log(goals - pk_standard), pos, squad, dist_standard, shots, age, g_minus_x_g_expected",0.783087903261396,"goals > 1 & goals != pk_standard",7,"shots > 5","sot > 0",NA
"69","log(goals - pk_standard), pos, squad, dist_standard, shots, games, g_minus_x_g_expected",0.781288738247478,"goals > 1 & goals != pk_standard",7,"shots > 5","sot > 0",NA
"70","log(goals - pk_standard), pos, squad, dist_standard, shots, games, sh_per_90_standard",0.77812206889833,"goals > 1 & goals != pk_standard",7,"shots > 5","sot > 0",NA
"71","log(goals - pk_standard), pos, squad, dist_standard, shots, games",0.777733947774351,"goals > 1 & goals != pk_standard",6,"shots > 5","sot > 0",NA
"72","log(goals - pk_standard), pos, squad, dist_standard, sh_per_90_standard",0.775968995746996,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"73","log(goals - pk_standard), pos, dist_standard, shots, games, age, g_minus_x_g_expected",0.775684997899112,"goals > 1 & goals != pk_standard",7,"shots > 5","sot > 0",NA
"74","poly(sqrt(goals - pk_standard), 2), pos, squad, poly(dist_standard, 2), shots, games, age, x_g_expected, overall",0.775574370435058,"none",11,"shots > 0","sot > 0",1122
